"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that an application can connect to different clusters of the same database.","36400","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.mongodb.relations","2026-02-20","passed","2026-02-20","","test_relations","",""
"Test that an application can request additional databases using the same interface.","35823","test_an_application_can_request_multiple_databases","tests.integration.mongodb.relations","2026-02-20","passed","2026-02-20","","test_relations","",""
"Tests that new mongos units are accessible externally.","223725","test_mongos_external_connections_scale","tests.integration.mongos","2026-02-20","passed","2026-02-20","","test_external_relation_kubernetes","",""
"Tests that the user created by mongos can connect with auth.","2193","test_user_can_connect","tests.integration.mongos","2026-02-20","passed","2026-02-20","","test_internal_relation_kubernetes","",""
"Verify each unit has TLS disabled after removing relation to the TLS application.","76010","test_disable_tls","tests.integration.mongodb.tls","2026-02-20","passed","2026-02-20","","test_tls","",""
"","50149","test_kill_db_process","tests.integration.mongodb.ha","2026-02-20","passed","2026-02-20","","test_ha","",""
"Build and deploy a sharded cluster.","41116","test_build_and_deploy","tests.integration.mongodb.relations","2026-02-20","passed","2026-02-20","","test_mongos","",""
"Test that in general, there is no change when password validation fails.","244433","test_no_password_change_on_invalid_password","tests.integration.mongodb","2026-02-20","passed","2026-02-20","","test_charm","",""
"Verify that endpoint still function correctly after a network cut.","83746","test_endpoints_network_cut","tests.integration.mongodb","2026-02-20","passed","2026-02-20","","test_metrics","",""
"Tests that upgrade can be ran successfully.","480418","test_failed_upgrade_and_rollback","tests.integration.mongos","2026-02-20","passed","2026-02-20","","test_rollback","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the mongod
    properly uses the storage that was provided. (ie. doesn't just re-sync everything from
    primary, but instead computes a diff between current storage and primary storage.)
    ","0","test_storage_re_use_microk8s","tests.integration.mongodb.ha","2026-02-20","skipped","2026-02-20","","test_ha","",""
"Scale up and down the application and verify the replica set is healthy.","","test_long_scale_up_scale_down_units","tests.integration.mongodb","","unknown","","","test_teardown","",""
"","453","test_consistency_between_workload_and_metadata","tests.integration.mongodb","2026-02-20","passed","2026-02-20","","test_charm","",""
"","384768","test_restore_new_cluster","tests.integration.mongodb.backups","2026-02-20","passed","2026-02-20","","test_backups_s3","",""
"Build and deploy a sharded cluster.","321295","test_build_and_deploy","tests.integration.mongos","2026-02-20","passed","2026-02-20","","test_rollback","",""
"Verifies that the charm goes into blocked status when GCS creds are incorrect.","23260","test_blocked_incorrect_creds","tests.integration.mongodb.backups","2026-02-20","passed","2026-02-20","","test_backups_gcs","",""
"Build and deploy one unit of MongoDB.","194940","test_build_and_deploy","tests.integration.mongodb.backups","2026-02-20","passed","2026-02-20","","test_sharding_backups","",""
"","181463","test_build_and_deploy","tests.integration.mongodb.upgrades","2026-02-20","passed","2026-02-20","","test_revision_checker","",""
"Tests that each cluster component can rotate TLS certs.","549863","test_rotate_tls","tests.integration.mongodb.tls","2026-02-20","passed","2026-02-20","","test_sharding_tls_correct_relations","",""
"Check consistency, ie write to primary, read data from secondaries.","11626","test_replication_across_members","tests.integration.mongodb.ha","2026-02-20","passed","2026-02-20","","test_ha","",""
"Verifies that after changing the backup password the pbm tool is updated and functional.","69642","test_update_backup_password","tests.integration.mongodb.backups","2026-02-20","passed","2026-02-20","","test_backups_gcs","",""
"Test password is updated for the monitor user.","26648","test_update_password_for_monitor_user","tests.integration.mongodb","2026-02-20","passed","2026-02-20","","test_charm","",""
